av_odd_h,av_odd_d,av_odd_g,av_prob_h,av_prob_d,av_prob_g,av_back,bf_odd_h,bf_odd_d,bf_odd_g,bf_prob_h,bf_prob_d,bf_prob_g,bf_back,volume_h,volume_d,volume_g,vol_ratio_h,vol_ratio_d,vol_ratio_g,shui_h,pan,shui_g,profit_h,profit_d,profit_g,pf_idx_h,pf_idx_d,pf_idx_g,hot_idx_h,hot_idx_d,hot_idx_g,qj,qs,kwin,win_cv_0,draw_cv_0,lost_cv_0,win_cv_9,draw_cv_9,lost_cv_9
1.96,3.59,3.8,48.53,26.48,24.99,95.03,2.06,3.7,4.1,48.56,27.04,24.4,100.03,3279241.0,427924.0,578189.0,76.5,10.0,13.5,1.075,0.5,0.775,-2469882.0,2702035.0,1914779.0,-58.0,63.0,45.0,58.0,-62.0,-46.0,0.0,0.0,1.0,3.815,6.186,8.704,6.974,3.898,11.601
8.79,5.28,1.33,10.79,17.98,71.23,94.83,10.5,5.8,1.36,9.5,17.19,73.31,99.75,268698.0,384293.0,5977878.0,4.1,5.8,90.2,1.075,-1.5,0.775,3809540.0,4401970.0,-1499045.0,57.0,66.0,-23.0,-62.0,-68.0,27.0,1.0,4.0,0.0,11.874,6.482,2.369,11.332,5.006,2.303
2.29,3.44,3.07,41.5,27.59,30.91,95.03,2.34,3.65,3.35,42.74,27.4,29.86,100.01,611085.0,238569.0,348159.0,51.0,19.9,29.1,1.025,0.25,0.825,-232126.0,327036.0,31480.0,-19.0,27.0,3.0,23.0,-28.0,-6.0,1.0,2.0,0.0,6.562,4.074,7.104,3.609,4.594,6.341
1.58,3.91,6.05,60.08,24.24,15.68,94.82,1.62,4.1,7.2,61.72,24.39,13.89,99.99,1170488.0,203677.0,175920.0,75.5,13.1,11.3,0.925,0.75,0.925,-346106.0,715009.0,283461.0,-22.0,46.0,18.0,26.0,-46.0,-28.0,2.0,2.0,1.0,4.242,5.075,12.157,2.235,3.448,7.172
1.98,3.11,4.44,47.98,30.62,21.4,95.09,2.08,3.15,4.8,47.76,31.54,20.7,99.34,1039121.0,428533.0,194815.0,62.5,25.8,11.7,1.075,0.5,0.775,-498903.0,312590.0,727357.0,-30.0,19.0,44.0,30.0,-16.0,-45.0,0.0,0.0,1.0,2.841,4.216,9.673,6.323,4.324,8.711
1.51,4.3,6.32,62.83,22.12,15.05,95.03,1.56,4.6,7.0,64.02,21.71,14.27,99.87,843859.0,101665.0,102552.0,80.5,9.7,9.8,0.85,0.75,1.0,-268344.0,580417.0,330212.0,-26.0,55.0,32.0,28.0,-56.0,-35.0,0.0,1.0,0.0,3.241,5.961,8.176,3.884,6.222,9.576
2.98,3.21,2.47,31.9,29.58,38.52,94.94,3.1,3.35,2.62,32.17,29.77,38.06,99.73,330405.0,229423.0,721034.0,25.8,17.9,56.3,0.825,0.0,1.025,256607.0,512295.0,-608247.0,20.0,40.0,-47.0,-19.0,-39.0,46.0,2.0,1.0,3.0,5.337,5.293,4.447,4.816,3.28,5.229
4.83,3.55,1.78,19.68,26.76,53.56,95.08,5.5,3.75,1.83,18.27,26.8,54.92,100.48,267782.0,160804.0,510224.0,28.5,17.1,54.3,0.825,-0.5,1.025,-533991.0,335795.0,5100.0,-57.0,36.0,1.0,45.0,-36.0,1.0,2.0,0.0,3.0,12.121,5.085,5.586,5.509,3.79,2.408
1.15,8.02,17.52,82.7,11.87,5.43,95.16,1.18,9.4,22.0,84.81,10.65,4.55,100.08,6763243.0,228230.0,154728.0,94.6,3.2,2.2,1.1,3.0,0.75,-834425.0,5000839.0,3742185.0,-12.0,70.0,52.0,14.0,-73.0,-60.0,4.0,1.0,3.0,2.075,12.559,21.468,2.434,10.088,18.204
3.4,3.46,2.13,27.92,27.44,44.64,95.02,3.75,3.75,2.16,26.77,26.77,46.47,100.39,244902.0,305521.0,1549029.0,11.7,14.6,73.8,0.875,-0.25,0.975,1181070.0,953748.0,-1246451.0,56.0,45.0,-59.0,-58.0,-47.0,65.0,2.0,2.0,1.0,6.858,3.647,5.797,3.869,3.391,2.973
