av_odd_h,av_odd_d,av_odd_g,av_prob_h,av_prob_d,av_prob_g,av_back,bf_odd_h,bf_odd_d,bf_odd_g,bf_prob_h,bf_prob_d,bf_prob_g,bf_back,volume_h,volume_d,volume_g,vol_ratio_h,vol_ratio_d,vol_ratio_g,shui_h,pan,shui_g,profit_h,profit_d,profit_g,pf_idx_h,pf_idx_d,pf_idx_g,hot_idx_h,hot_idx_d,hot_idx_g,qj,qs,kwin,win_cv_0,draw_cv_0,lost_cv_0,win_cv_9,draw_cv_9,lost_cv_9
2.79,3.54,2.44,34.11,26.9,39.0,95.19,2.96,3.75,2.52,33.74,26.63,39.63,99.87,512384.0,566775.0,986176.0,24.8,27.4,47.7,0.775,0.0,1.075,548678.0,-60071.0,-419829.0,27.0,-3.0,-20.0,-27.0,2.0,22.0,0.0,3.0,0.0,3.868,6.278,6.416,4.036,3.986,2.848
1.1,9.96,26.66,86.83,9.59,3.58,95.46,1.12,13.5,32.0,89.45,7.42,3.13,100.18,11139000.0,760634.0,242451.0,91.7,6.3,2.0,0.825,3.0,1.025,-333595.0,1873524.0,4383651.0,-3.0,15.0,36.0,6.0,-35.0,-44.0,4.0,1.0,3.0,1.767,14.308,35.224,1.485,9.679,18.145
2.02,3.35,3.97,47.37,28.56,24.07,95.58,2.06,3.45,4.3,48.17,28.76,23.07,99.23,2722484.0,556444.0,899718.0,65.2,13.3,21.5,1.075,0.5,0.775,-1429671.0,2258914.0,309859.0,-34.0,54.0,7.0,38.0,-53.0,-11.0,0.0,0.0,1.0,3.193,2.834,7.604,2.563,2.933,5.708
1.75,3.47,5.32,54.61,27.46,17.93,95.37,1.8,3.55,6.2,55.64,28.21,16.15,100.15,3473024.0,676494.0,481187.0,75.0,14.6,10.4,0.8,0.5,1.05,-1620738.0,2229152.0,1647346.0,-35.0,48.0,36.0,37.0,-47.0,-42.0,3.0,0.0,3.0,2.75,4.334,9.046,2.313,2.96,7.755
1.99,3.42,3.92,47.84,27.87,24.29,95.31,2.04,3.65,4.2,48.91,27.34,23.76,99.78,8891671.0,2519551.0,1299626.0,70.0,19.8,10.2,1.05,0.5,0.8,-5428161.0,3514487.0,7252419.0,-43.0,28.0,57.0,46.0,-29.0,-58.0,1.0,1.0,1.0,2.75,3.154,6.302,4.726,3.096,6.529
8.98,4.63,1.38,10.61,20.57,68.81,95.24,10.5,4.9,1.42,9.49,20.34,70.17,99.64,907646.0,921796.0,15292360.0,5.3,5.4,89.3,1.05,-1.25,0.8,7591523.0,12605010.0,-4593350.0,44.0,74.0,-27.0,-50.0,-74.0,30.0,0.0,4.0,0.0,16.904,8.96,4.011,11.395,3.885,2.372
4.24,3.82,1.81,22.48,24.96,52.55,95.29,4.7,4.1,1.85,21.34,24.46,54.21,100.3,1791944.0,1422184.0,13289910.0,10.9,8.6,80.5,0.85,-0.5,1.0,8081902.0,10673080.0,-8082296.0,49.0,65.0,-49.0,-52.0,-65.0,53.0,2.0,2.0,1.0,5.982,4.766,3.581,5.298,4.341,2.871
1.78,3.66,4.67,53.6,26.02,20.38,95.22,1.84,3.75,5.2,54.21,26.6,19.18,99.75,11391640.0,1791161.0,1846822.0,75.8,11.9,12.3,0.85,0.5,1.0,-5930995.0,8312769.0,5426149.0,-39.0,55.0,36.0,41.0,-54.0,-40.0,2.0,1.0,3.0,2.584,3.868,9.839,2.931,3.15,7.149
5.04,4.08,1.66,18.95,23.42,57.63,95.53,5.7,4.4,1.68,17.58,22.77,59.65,100.21,4020516.0,2852014.0,27471040.0,11.7,8.3,80.0,1.1,-0.75,0.75,11426630.0,21794710.0,-11807780.0,33.0,63.0,-34.0,-38.0,-65.0,39.0,0.0,1.0,0.0,12.736,6.832,6.945,8.276,4.534,3.926
3.78,3.61,1.96,25.14,26.34,48.52,95.09,4.1,3.9,1.98,24.26,25.5,50.24,99.47,1559801.0,1843909.0,8588881.0,13.0,15.4,71.6,0.975,-0.5,0.875,5597407.0,4801346.0,-5013394.0,47.0,40.0,-42.0,-48.0,-42.0,48.0,1.0,2.0,0.0,10.046,4.414,4.556,4.899,4.207,2.583
3.4,3.28,2.21,27.98,29.05,42.97,95.18,3.55,3.5,2.32,28.21,28.62,43.17,100.15,972115.0,1041889.0,3467374.0,17.7,19.0,63.3,1.0,-0.25,0.85,2030370.0,1834767.0,-2562930.0,37.0,33.0,-47.0,-37.0,-35.0,47.0,0.0,1.0,0.0,7.498,3.942,5.578,2.949,3.668,3.856
1.56,3.91,6.52,60.99,24.4,14.61,95.32,1.65,3.95,7.4,60.95,25.46,13.59,100.57,2051297.0,491185.0,381208.0,70.2,16.8,13.0,0.975,0.75,0.875,-460950.0,983509.0,102751.0,-16.0,34.0,4.0,15.0,-31.0,-11.0,3.0,1.0,3.0,3.583,6.153,9.358,2.7,3.993,9.53
2.76,3.17,2.68,34.49,29.97,35.54,95.11,2.9,3.35,2.78,34.38,29.76,35.86,99.7,768017.0,927017.0,1435181.0,24.5,29.6,45.8,0.925,0.0,0.925,902966.0,24708.0,-859588.0,29.0,1.0,-27.0,-29.0,-1.0,29.0,1.0,0.0,3.0,4.402,3.873,5.266,4.376,3.034,3.091
1.6,3.91,6.01,59.76,24.37,15.87,95.33,1.64,4.1,6.8,60.93,24.37,14.7,99.93,2790481.0,437864.0,287165.0,79.4,12.5,8.2,0.975,0.75,0.875,-1060879.0,1720268.0,1562788.0,-30.0,49.0,44.0,33.0,-49.0,-49.0,4.0,2.0,3.0,3.843,5.939,11.545,4.062,4.79,9.463
3.7,3.79,1.93,25.71,25.12,49.17,95.1,4.0,4.1,1.97,24.96,24.35,50.68,99.84,2626848.0,2118662.0,14583250.0,13.6,11.0,75.4,0.975,-0.5,0.875,8821366.0,10642240.0,-9400241.0,46.0,55.0,-49.0,-47.0,-56.0,53.0,1.0,1.0,1.0,7.495,5.866,4.087,6.049,4.354,3.441
3.25,3.31,2.25,29.2,28.65,42.15,94.99,3.5,3.4,2.36,28.47,29.31,42.22,99.64,1345063.0,1128350.0,5273752.0,17.4,14.6,68.1,1.025,-0.25,0.825,3039445.0,3910775.0,-4698889.0,39.0,50.0,-61.0,-41.0,-49.0,61.0,2.0,3.0,0.0,6.894,3.534,3.388,4.689,2.459,3.321
1.11,9.62,22.27,85.82,9.9,4.28,95.26,1.12,13.0,32.0,89.19,7.68,3.12,99.89,12246280.0,354410.0,296919.0,95.0,2.7,2.3,0.825,3.0,1.025,-818225.0,8290281.0,3396203.0,-6.0,64.0,26.0,11.0,-72.0,-46.0,6.0,1.0,3.0,1.596,13.22,27.77,1.328,9.966,20.196
1.3,5.45,9.77,72.89,17.4,9.71,94.89,1.35,5.9,11.5,74.28,17.0,8.72,100.28,11097630.0,883246.0,649598.0,87.9,7.0,5.1,1.05,1.5,0.8,-2351325.0,7419319.0,5160093.0,-19.0,59.0,41.0,21.0,-60.0,-47.0,3.0,1.0,3.0,2.268,8.63,15.683,2.575,4.696,11.299
2.31,3.33,3.16,41.26,28.58,30.16,95.16,2.36,3.45,3.4,42.05,28.76,29.19,99.24,12937910.0,2409129.0,3468386.0,68.8,12.8,18.4,1.025,0.25,0.825,-11718050.0,10503930.0,7022916.0,-62.0,56.0,37.0,67.0,-55.0,-39.0,1.0,0.0,3.0,4.909,4.283,6.239,3.011,2.598,4.417
2.54,3.05,3.07,37.61,31.31,31.08,95.4,2.62,3.15,3.3,38.09,31.68,30.24,99.8,1719255.0,1466839.0,1380529.0,37.6,32.1,30.2,0.825,0.0,1.025,62175.0,-53920.0,10877.0,1.0,-1.0,0.0,0.0,3.0,-3.0,2.0,1.0,3.0,3.769,3.3,5.032,2.999,2.728,4.413
3.19,3.21,2.36,29.85,29.72,40.43,95.31,3.4,3.4,2.46,29.57,29.57,40.87,100.54,858168.0,722402.0,2119450.0,23.2,19.5,57.3,1.1,-0.25,0.75,782249.0,1243853.0,-1513827.0,21.0,34.0,-41.0,-22.0,-34.0,42.0,1.0,1.0,1.0,5.694,2.861,4.651,3.159,2.883,3.742
1.47,4.42,7.01,64.8,21.6,13.6,95.41,1.51,4.7,8.0,66.22,21.28,12.5,99.99,4716022.0,611407.0,477538.0,81.2,10.5,8.2,1.025,1.0,0.825,-1316226.0,2931354.0,1984663.0,-23.0,51.0,34.0,25.0,-51.0,-39.0,0.0,0.0,1.0,7.513,7.473,17.825,3.437,4.37,7.636
2.87,3.34,2.49,33.19,28.52,38.29,95.37,3.05,3.5,2.6,32.85,28.62,38.53,100.19,945776.0,781810.0,1368239.0,30.6,25.3,44.2,0.825,0.0,1.025,211208.0,359490.0,-461596.0,7.0,12.0,-15.0,-8.0,-11.0,15.0,2.0,1.0,3.0,6.172,3.484,6.164,3.918,3.025,3.533
2.33,3.29,3.2,41.06,29.06,29.87,95.48,2.38,3.55,3.4,42.19,28.28,29.53,100.41,1963970.0,822875.0,886772.0,53.5,22.4,24.1,1.1,0.25,0.75,-1000632.0,752411.0,658592.0,-27.0,20.0,18.0,30.0,-23.0,-19.0,1.0,1.0,1.0,4.24,3.819,5.305,3.046,3.69,4.334
5.06,3.82,1.69,18.82,24.93,56.25,95.32,5.5,4.1,1.75,18.23,24.46,57.31,100.26,1320070.0,1383442.0,17424060.0,6.6,6.9,86.6,0.75,-0.5,1.1,12867190.0,14455460.0,-10364530.0,64.0,72.0,-51.0,-65.0,-72.0,54.0,0.0,1.0,0.0,9.99,4.72,3.988,7.825,3.849,3.087
1.1,10.75,24.19,87.17,8.88,3.95,95.48,1.12,13.0,30.0,89.01,7.67,3.32,99.69,10844430.0,396442.0,340075.0,93.6,3.4,2.9,0.825,3.0,1.025,-564815.0,6427205.0,1378701.0,-5.0,56.0,12.0,7.0,-61.0,-26.0,2.0,0.0,3.0,2.16,17.228,26.694,1.72,10.653,17.62
1.38,4.93,8.14,68.97,19.32,11.71,95.3,1.43,5.2,9.4,70.07,19.27,10.66,100.2,6703574.0,1031732.0,623660.0,80.2,12.3,7.5,1.075,1.25,0.775,-1227145.0,2993960.0,2496562.0,-15.0,36.0,30.0,16.0,-36.0,-36.0,0.0,0.0,1.0,2.41,9.006,10.698,2.789,4.45,8.019
1.36,5.22,8.05,69.96,18.22,11.81,95.06,1.39,5.5,10.0,71.85,18.16,9.99,99.87,20291020.0,1820998.0,2633449.0,82.0,7.4,10.6,0.975,1.25,0.875,-3459049.0,14729970.0,-1589026.0,-14.0,60.0,-6.0,17.0,-60.0,-10.0,3.0,1.0,3.0,5.855,9.91,15.195,2.729,3.869,9.587
1.62,4.09,5.43,59.06,23.34,17.6,95.54,1.66,4.2,6.2,60.13,23.77,16.1,99.82,6328807.0,459629.0,560737.0,86.1,6.3,7.6,1.025,0.75,0.825,-3156647.0,5418731.0,3872604.0,-43.0,74.0,53.0,46.0,-73.0,-57.0,1.0,1.0,1.0,2.74,6.502,8.119,2.948,4.245,5.439
2.8,3.11,2.71,34.09,30.71,35.21,95.55,2.9,3.25,2.9,34.57,30.85,34.57,100.25,1067272.0,540232.0,990618.0,41.1,20.8,38.1,0.975,0.0,0.875,-496967.0,842368.0,-274670.0,-19.0,32.0,-11.0,21.0,-32.0,8.0,1.0,1.0,1.0,5.926,4.264,5.636,3.189,3.004,4.795
1.45,4.32,7.93,65.86,22.1,12.05,95.53,1.49,4.6,9.8,67.75,21.95,10.3,100.95,3200425.0,573145.0,527631.0,74.4,13.3,12.3,0.975,1.0,0.875,-467432.0,1664734.0,-869583.0,-11.0,39.0,-20.0,13.0,-40.0,2.0,1.0,0.0,3.0,2.607,6.871,12.631,3.184,5.347,9.948
2.7,3.26,2.73,35.5,29.39,35.11,95.69,2.84,3.35,2.84,35.12,29.77,35.12,99.74,1140947.0,543363.0,1256705.0,38.8,18.5,42.7,0.925,0.0,0.925,-299275.0,1120749.0,-628027.0,-10.0,38.0,-21.0,9.0,-37.0,22.0,3.0,2.0,3.0,4.385,5.019,5.135,4.309,3.501,3.213
1.44,4.45,7.65,66.11,21.43,12.47,95.42,1.48,4.7,9.0,67.6,21.29,11.12,100.05,4505895.0,719180.0,502133.0,78.7,12.6,8.8,0.95,1.0,0.9,-941517.0,2347062.0,1208011.0,-16.0,41.0,21.0,19.0,-41.0,-30.0,0.0,0.0,1.0,2.262,6.215,9.513,2.868,3.894,8.28
6.04,4.32,1.54,15.82,22.11,62.08,95.61,6.2,4.6,1.6,16.07,21.66,62.27,99.63,754862.0,458397.0,4306395.0,13.7,8.3,78.0,0.9,-0.75,0.95,839510.0,3411028.0,-1370578.0,15.0,62.0,-25.0,-14.0,-62.0,26.0,0.0,3.0,0.0,10.473,5.95,2.963,4.532,3.614,2.984
12.05,6.53,1.23,7.91,14.62,77.47,95.33,14.0,7.2,1.28,7.2,14.01,78.79,100.8,650566.0,474349.0,10197900.0,5.7,4.2,90.1,1.1,-2.0,0.75,2214891.0,7907502.0,-1730497.0,20.0,70.0,-15.0,-27.0,-71.0,16.0,0.0,4.0,0.0,15.888,9.049,4.083,10.664,6.425,2.466
3.01,3.33,2.42,31.76,28.69,39.55,95.56,3.2,3.4,2.52,31.14,29.31,39.55,99.65,3887692.0,3444661.0,9044418.0,23.7,21.0,55.2,0.775,0.0,1.075,3936156.0,4664924.0,-6415162.0,24.0,28.0,-39.0,-25.0,-27.0,40.0,3.0,1.0,3.0,4.794,3.762,4.806,5.703,3.797,3.173
3.3,3.57,2.16,28.95,26.77,44.27,95.55,3.5,3.7,2.22,28.39,26.85,44.76,99.36,2126818.0,1431878.0,9258360.0,16.6,11.2,72.2,0.925,-0.25,0.925,5373193.0,7519107.0,-7736503.0,42.0,59.0,-60.0,-43.0,-58.0,63.0,1.0,2.0,0.0,5.256,6.249,3.211,4.953,4.24,4.578
1.59,3.68,6.86,60.1,25.98,13.92,95.49,1.64,3.75,8.0,60.89,26.63,12.48,99.86,7591508.0,894077.0,586512.0,83.7,9.9,6.5,0.975,0.75,0.875,-3377976.0,5719308.0,4380001.0,-37.0,63.0,48.0,39.0,-62.0,-54.0,0.0,2.0,0.0,4.025,5.72,15.416,2.576,3.312,9.133
2.98,3.11,2.57,32.07,30.77,37.16,95.6,3.1,3.2,2.74,32.26,31.25,36.49,100.01,4328166.0,2418115.0,4773275.0,37.6,21.0,41.4,0.875,0.0,0.975,-1897758.0,3781588.0,-1559218.0,-16.0,33.0,-14.0,17.0,-32.0,12.0,1.0,2.0,0.0,5.165,3.239,6.614,4.45,2.895,3.184
3.48,3.19,2.23,27.42,29.86,42.72,95.41,3.75,3.3,2.34,26.75,30.39,42.86,100.31,1482990.0,1136206.0,4309108.0,21.4,16.4,62.2,1.025,-0.25,0.825,1367092.0,3178824.0,-3155009.0,20.0,46.0,-46.0,-22.0,-45.0,46.0,2.0,1.0,3.0,8.232,3.757,4.802,5.712,3.113,4.0
1.55,3.98,6.75,61.8,24.03,14.17,95.58,1.58,4.2,7.8,63.34,23.83,12.83,100.08,4349005.0,1094784.0,700884.0,70.8,17.8,11.4,0.875,0.75,0.975,-726755.0,1546581.0,677778.0,-12.0,25.0,11.0,15.0,-26.0,-19.0,2.0,0.0,3.0,5.831,4.786,15.481,2.917,3.563,8.898
2.38,2.92,3.56,40.25,32.84,26.91,95.84,2.42,3.0,3.9,41.2,33.23,25.57,99.7,1562816.0,843102.0,648529.0,51.2,27.6,21.2,1.075,0.25,0.775,-727568.0,525141.0,525184.0,-24.0,17.0,17.0,27.0,-16.0,-21.0,1.0,2.0,0.0,3.623,4.162,5.405,3.058,2.796,6.386
2.34,3.22,3.25,40.86,29.69,29.44,95.59,2.44,3.35,3.45,41.06,29.9,29.04,100.19,1605630.0,467101.0,758948.0,56.7,16.5,26.8,1.1,0.25,0.75,-1086058.0,1266891.0,213308.0,-38.0,45.0,8.0,39.0,-44.0,-9.0,2.0,0.0,3.0,4.783,3.198,6.292,3.197,2.173,4.298
1.13,9.03,20.66,84.79,10.59,4.62,95.53,1.15,11.0,28.0,87.29,9.13,3.59,100.38,12154390.0,476982.0,369550.0,93.5,3.7,2.8,0.95,3.0,0.9,-976626.0,7754121.0,2653523.0,-8.0,60.0,20.0,10.0,-65.0,-39.0,3.0,1.0,3.0,1.456,13.211,24.737,2.105,10.669,16.327
2.53,3.28,2.9,37.81,29.19,32.99,95.62,2.66,3.4,3.0,37.47,29.31,33.22,99.67,1266204.0,513492.0,617531.0,52.8,21.4,25.8,0.875,0.0,0.975,-970876.0,651354.0,544634.0,-41.0,27.0,23.0,40.0,-27.0,-22.0,0.0,3.0,0.0,3.758,3.105,6.21,3.511,3.078,3.927
4.18,3.4,1.94,22.82,28.05,49.13,95.34,4.5,3.55,2.0,22.14,28.06,49.81,99.63,1770564.0,1397940.0,17173720.0,8.7,6.9,84.4,1.0,-0.5,0.85,12374680.0,15379530.0,-14005210.0,61.0,76.0,-69.0,-62.0,-76.0,72.0,2.0,2.0,1.0,6.937,4.345,3.059,4.929,2.816,3.926
1.19,7.14,14.7,80.14,13.37,6.49,95.46,1.21,8.0,18.0,82.07,12.41,5.52,99.3,11915640.0,589769.0,365009.0,92.6,4.6,2.8,1.05,2.5,0.8,-1547507.0,8152264.0,6300254.0,-12.0,63.0,49.0,16.0,-66.0,-56.0,2.0,0.0,3.0,2.033,11.496,20.833,2.551,5.916,10.801
2.82,3.44,2.48,33.85,27.7,38.45,95.38,2.98,3.55,2.6,33.49,28.12,38.39,99.8,4583780.0,1699663.0,6499155.0,35.9,13.3,50.8,0.825,0.0,1.025,-877066.0,6748795.0,-4115204.0,-7.0,53.0,-32.0,6.0,-52.0,32.0,4.0,2.0,3.0,3.249,4.768,5.615,5.563,3.373,4.483
1.44,4.5,7.56,66.16,21.21,12.63,95.45,1.48,4.7,8.6,67.25,21.18,11.57,99.53,11469690.0,1468061.0,1087239.0,81.8,10.5,7.8,0.95,1.0,0.9,-2950154.0,7125108.0,4674738.0,-21.0,51.0,33.0,24.0,-51.0,-39.0,1.0,0.0,3.0,2.435,7.847,15.312,3.47,3.232,8.138
1.72,3.66,5.19,55.58,26.04,18.39,95.41,1.75,3.75,6.2,57.18,26.68,16.14,100.06,3646122.0,789082.0,915689.0,68.1,14.7,17.1,0.75,0.5,1.1,-1029821.0,2391836.0,-326379.0,-19.0,45.0,-6.0,23.0,-43.0,-7.0,2.0,1.0,3.0,3.314,5.158,12.181,3.263,2.584,7.995
3.01,2.94,2.67,31.76,32.48,35.76,95.49,3.25,2.96,2.84,30.84,33.86,35.29,100.23,1385714.0,1223568.0,1649176.0,32.5,28.7,38.7,0.925,0.0,0.925,-245113.0,636697.0,-425202.0,-6.0,15.0,-10.0,2.0,-12.0,8.0,3.0,1.0,3.0,6.741,3.211,6.881,5.197,2.563,3.516
1.67,3.9,5.29,57.37,24.52,18.1,95.68,1.7,4.1,6.2,59.21,24.55,16.24,100.66,5776866.0,1039853.0,987245.0,74.0,13.3,12.7,1.05,0.75,0.8,-2016709.0,3540567.0,1683045.0,-26.0,45.0,22.0,29.0,-46.0,-30.0,3.0,1.0,3.0,7.77,8.052,23.759,3.358,3.29,6.03
8.73,5.28,1.34,10.92,18.07,71.01,95.37,11.0,5.6,1.38,9.14,17.96,72.89,100.54,1082874.0,1586221.0,17487870.0,5.4,7.9,86.8,0.95,-1.25,0.9,8245348.0,11274130.0,-3976295.0,41.0,56.0,-20.0,-51.0,-56.0,22.0,1.0,2.0,0.0,26.682,16.013,4.335,8.716,4.332,3.606
5.72,3.8,1.64,16.72,25.13,58.15,95.59,6.0,4.0,1.69,16.53,24.79,58.68,99.18,907545.0,652277.0,6320833.0,11.5,8.3,80.2,1.1,-0.75,0.75,2435385.0,5271547.0,-2801553.0,31.0,67.0,-36.0,-31.0,-67.0,38.0,2.0,1.0,3.0,8.364,5.453,6.655,8.296,3.907,2.593
11.01,5.33,1.3,8.66,17.9,73.45,95.37,12.5,6.0,1.33,8.01,16.69,75.3,100.12,941612.0,1321651.0,19289330.0,4.4,6.1,89.5,1.0,-1.5,0.85,9782442.0,13622690.0,-4102216.0,45.0,63.0,-19.0,-50.0,-66.0,22.0,1.0,3.0,0.0,30.112,12.704,4.588,9.285,5.334,3.664
2.73,3.27,2.69,35.09,29.29,35.62,95.66,2.74,3.45,2.9,36.51,29.0,34.49,100.04,2043426.0,956129.0,1582063.0,44.6,20.9,34.5,0.875,0.0,0.975,-1017369.0,1282973.0,-6365.0,-22.0,28.0,0.0,27.0,-29.0,-3.0,1.0,1.0,1.0,5.725,5.454,3.944,3.21,3.6,5.777
1.48,4.24,7.72,64.94,22.63,12.42,95.86,1.5,4.5,8.8,66.5,22.17,11.34,99.75,5663599.0,639463.0,455790.0,83.8,9.5,6.7,1.0,1.0,0.85,-1736547.0,3881269.0,2747900.0,-26.0,57.0,41.0,29.0,-58.0,-46.0,1.0,1.0,1.0,3.566,5.317,9.462,2.939,4.832,10.418
1.33,5.26,9.68,71.96,18.16,9.88,95.59,1.36,5.5,12.0,73.5,18.17,8.33,99.96,6725858.0,476727.0,365218.0,88.9,6.3,4.8,1.075,1.5,0.775,-1579364.0,4945805.0,3185187.0,-21.0,65.0,42.0,23.0,-65.0,-51.0,3.0,1.0,3.0,6.399,23.495,48.808,2.48,5.5,10.388
2.39,3.42,2.97,39.88,27.93,32.19,95.49,2.44,3.65,3.2,41.14,27.5,31.37,100.38,16076250.0,4474392.0,8633037.0,55.1,15.3,29.6,1.1,0.25,0.75,-10042370.0,12852150.0,1557956.0,-34.0,44.0,5.0,38.0,-45.0,-8.0,2.0,2.0,1.0,6.34,4.679,13.45,3.638,2.7,3.938
6.65,4.55,1.48,14.37,20.99,64.64,95.5,7.6,4.9,1.51,13.19,20.45,66.36,100.24,1076405.0,934014.0,13432510.0,7.0,6.0,87.0,1.025,-1.0,0.825,7262252.0,10866260.0,-4840162.0,47.0,70.0,-31.0,-51.0,-71.0,35.0,0.0,4.0,0.0,14.331,7.403,6.771,9.231,5.251,3.04
2.87,3.03,2.71,33.23,31.49,35.27,95.48,3.0,3.2,2.88,33.57,31.47,34.97,100.71,1020743.0,636748.0,970411.0,38.8,24.2,36.9,0.975,0.0,0.875,-434327.0,590308.0,-166882.0,-17.0,22.0,-6.0,17.0,-23.0,5.0,1.0,0.0,3.0,5.999,3.053,6.011,3.816,2.505,3.757
3.19,3.24,2.35,29.95,29.46,40.58,95.49,3.35,3.35,2.48,29.84,29.84,40.31,99.96,1434050.0,585316.0,2059327.0,35.2,14.4,50.5,0.775,0.0,1.075,-725374.0,2117885.0,-1028438.0,-18.0,52.0,-25.0,17.0,-51.0,24.0,1.0,0.0,3.0,5.494,3.564,4.705,5.466,2.607,3.482
1.29,5.63,10.93,74.21,17.02,8.76,95.77,1.32,6.2,13.0,76.08,16.2,7.72,100.43,14197890.0,759815.0,571465.0,91.4,4.9,3.7,0.95,1.5,0.9,-3212046.0,10818320.0,8100125.0,-21.0,70.0,52.0,23.0,-71.0,-58.0,1.0,0.0,3.0,3.19,12.84,27.333,2.883,4.708,11.257
1.38,4.94,8.55,69.48,19.34,11.18,95.57,1.41,5.2,10.0,70.81,19.2,9.98,99.84,5723350.0,545594.0,572685.0,83.7,8.0,8.4,1.025,1.25,0.825,-1228294.0,4004540.0,1114779.0,-18.0,59.0,16.0,20.0,-59.0,-25.0,4.0,1.0,3.0,3.401,13.031,22.389,2.899,3.411,8.793
2.27,3.34,3.26,42.06,28.61,29.33,95.52,2.34,3.6,3.35,42.58,27.68,29.74,99.64,1522649.0,838640.0,1349800.0,41.0,22.6,36.4,1.025,0.25,0.825,148091.0,691985.0,-810741.0,4.0,19.0,-22.0,-2.0,-21.0,24.0,3.0,2.0,3.0,6.226,3.117,7.321,3.564,3.019,4.334
3.42,3.46,2.15,27.95,27.59,44.46,95.54,3.7,3.55,2.22,26.96,28.1,44.94,99.75,4994194.0,3341353.0,14031800.0,22.3,14.9,62.7,0.925,-0.25,0.925,3888832.0,10505550.0,-8783255.0,17.0,47.0,-39.0,-20.0,-46.0,41.0,2.0,0.0,3.0,12.11,5.503,4.847,5.904,2.941,5.72
4.12,3.39,1.96,23.18,28.14,48.68,95.53,4.5,3.55,2.0,22.14,28.06,49.81,99.63,2115299.0,2226240.0,15122340.0,10.9,11.4,77.7,1.0,-0.5,0.85,9945034.0,11560730.0,-10780800.0,51.0,59.0,-55.0,-53.0,-59.0,60.0,0.0,2.0,0.0,7.0,4.47,4.136,6.473,3.626,2.534
2.85,3.04,2.71,33.53,31.33,35.15,95.39,2.98,3.1,2.9,33.46,32.16,34.38,99.71,2806410.0,1954312.0,3044214.0,36.0,25.0,39.0,0.975,0.0,0.875,-558166.0,1746569.0,-1023285.0,-7.0,22.0,-13.0,7.0,-20.0,11.0,1.0,2.0,0.0,6.501,3.266,5.21,4.077,2.601,4.277
1.66,3.84,5.4,57.43,24.88,17.7,95.53,1.7,4.0,6.2,58.85,25.01,16.14,100.04,15746140.0,2276089.0,1981637.0,78.7,11.4,9.9,1.05,0.75,0.8,-6764573.0,10899510.0,7717716.0,-34.0,54.0,39.0,37.0,-54.0,-44.0,2.0,2.0,1.0,4.37,4.996,9.683,2.992,3.966,6.96
1.22,6.51,12.61,77.82,14.62,7.55,95.2,1.25,7.4,15.0,79.86,13.49,6.65,99.82,13124850.0,595981.0,523513.0,92.1,4.2,3.7,1.0,2.0,0.85,-2161719.0,9834086.0,6391650.0,-15.0,69.0,45.0,18.0,-71.0,-51.0,3.0,1.0,3.0,2.691,13.988,51.275,3.006,6.68,8.848
2.56,3.01,3.08,37.3,31.69,31.02,95.49,2.68,3.1,3.25,37.19,32.15,30.66,99.67,1195641.0,990097.0,1076083.0,36.7,30.4,33.0,0.875,0.0,0.975,57503.0,192520.0,-235449.0,2.0,6.0,-7.0,-2.0,-4.0,6.0,0.0,1.0,0.0,5.231,3.339,6.711,4.555,2.647,3.823
1.19,6.84,16.05,80.1,13.96,5.95,95.45,1.23,7.4,20.0,81.45,13.54,5.01,100.18,8066163.0,376061.0,165519.0,93.7,4.4,1.9,1.05,2.25,0.8,-1313638.0,5824892.0,5297363.0,-15.0,68.0,62.0,17.0,-69.0,-68.0,1.0,0.0,3.0,2.477,11.83,21.222,2.448,7.105,12.974
1.67,3.81,5.41,57.22,25.1,17.68,95.56,1.72,3.9,6.2,58.19,25.66,16.14,100.09,2845325.0,396238.0,677369.0,72.6,10.1,17.3,1.075,0.75,0.775,-975027.0,2373604.0,-280756.0,-25.0,61.0,-7.0,27.0,-60.0,-2.0,3.0,2.0,3.0,2.87,4.28,7.377,3.375,3.06,7.873
2.01,3.35,4.01,47.62,28.54,23.84,95.58,2.02,3.5,4.5,49.36,28.49,22.16,99.71,3534024.0,892257.0,888600.0,66.5,16.8,16.7,1.025,0.5,0.825,-1823848.0,2191982.0,1316181.0,-34.0,41.0,25.0,40.0,-41.0,-30.0,2.0,0.0,3.0,5.028,4.111,7.138,3.122,3.105,6.715
2.68,3.13,2.82,35.66,30.54,33.8,95.43,2.76,3.25,3.0,36.11,30.67,33.22,99.66,1533372.0,663669.0,944777.0,48.8,21.1,30.1,0.925,0.0,0.925,-1090289.0,984894.0,307487.0,-35.0,31.0,10.0,37.0,-31.0,-11.0,1.0,0.0,3.0,5.757,3.24,6.755,3.72,2.842,4.055
2.98,3.51,2.34,31.97,27.18,40.85,95.41,3.2,3.6,2.44,31.25,27.77,40.98,100.0,1782685.0,1185451.0,3956736.0,25.7,17.1,57.1,1.1,-0.25,0.75,1220280.0,2657249.0,-2729564.0,18.0,38.0,-39.0,-19.0,-37.0,40.0,0.0,2.0,0.0,5.449,4.515,5.537,4.829,3.579,3.247
