gid,gset,mplay,mtid,gplay,gtid,qj,qs,qr,kend,kwin,kwinrq,tweek,tplay,tsell,cid,pwin9,pdraw9,plost9,kwin_sta
714422,美职联,纽约城,7947,冲击,4293,-1,-1,0,0,-1,-1,3,2018-07-11,2018-07-11 23:55:00,1,1.43,3.95,4.85,3
733800,欧冠,叶阿拉,7365,凯尔特,926,-1,-1,0,0,-1,-1,2,2018-07-10,2018-07-10 23:55:00,1,9.5,4.3,1.22,0
710021,挪超,斯特罗,407,克里斯,4338,2,3,0,1,0,-1,1,2018-07-10,2018-07-10 00:59,1,1.44,3.8,4.95,3
