gset,mplay,gplay,预测(True:主队)
巴西甲,"博塔弗戈
		   ","格雷米奥
		   ",True
美公开赛,"华盛顿联
		   ","费城联合
		   ",True
巴西甲,"福塔雷萨
		   ","克鲁塞罗
		   ",True
巴西甲,"桑托斯
		   ","科林蒂安
		   ",False
巴西甲,"巴西国际
		   ","巴伊亚
		   ",True
巴西甲,"阿拉戈亚诺体育队
		   ","弗拉门戈
		   ",False
美公开赛,"西雅图音速
		   ","波特兰伐木者
		   ",True
