gset,mplay,gplay,预测
巴西甲,"沙佩科恩斯
		   ","帕尔梅拉斯
		   ",0
美职业,"洛杉矶银河
		   ","新英格兰革命
		   ",0
巴西甲,"巴拉纳竞技
		   ","弗鲁米嫩塞
		   ",0
巴西甲,"塞阿拉
		   ","桑托斯
		   ",0
巴西甲,"圣保罗
		   ","克鲁塞罗
		   ",0
美职业,"明尼苏达联
		   ","费城联合
		   ",0
巴西甲,"米内罗竞技
		   ","阿拉戈亚诺体育队
		   ",0
巴西甲,"巴西国际
		   ","奥瓦
		   ",0
